,course_name,instructor,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,students_count
2729,Data Science:Data Mining & Natural Language Processing in R,Minerva Singh,4.8,350.0,13.5 total hours,112 lectures,All Levels,269.99,1399.99,"3,782 students"
2730,"DevOps: CICD with Git GitLab Jenkins, Docker and Django",Dare Soremi,4.5,350.0,5.5 total hours,87 lectures,All Levels,269.99,599.99,"2,897 students"
2731,Forecast Anything with Excel,Mauricio Maroto,3.6,350.0,4 total hours,32 lectures,Beginner,269.99,679.99,"1,909 students"
2732,Create a web application with python + Django + PostgreSQL,Bluelime Learning Solutions,4.1,349.0,4.5 total hours,48 lectures,Beginner,269.99,549.99,"4,106 students"
2733,The Complete iOS11 Swift4 Development Course - Build 28 Apps,Dee Aliyu Odumosu,4.1,349.0,43 total hours,512 lectures,Beginner,269.99,1299.99,"7,888 students"
2734,Complete Guide to Creating COCO Datasets,Adam Kelly Immersive Limit,4.7,349.0,4 total hours,53 lectures,Intermediate,419.99,765.8469641367806,878 students
2735,QR Code Generator Using JavaScript,Narendra Dwivedi,4.1,349.0,1 total hour,13 lectures,All Levels,229.99,319.99,"32,117 students"
2736,"Microsoft SQL for beginners : ( MS-SQL Server,T-SQL, SSMS )",Bluelime Learning Solutions,4.5,348.0,5 total hours,54 lectures,Beginner,269.99,529.99,"21,146 students"
2737,Learn By Example: C++ Programming - 75 Solved Problems,Loony Corn,4.1,348.0,16 total hours,87 lectures,All Levels,269.99,719.99,"5,072 students"
2738,Robot Framework Test Automation - Saucelabs Integration,Bryan Lamb,4.6,348.0,1 total hour,21 lectures,Beginner,269.99,629.99,"3,090 students"
2739,Vim for Ruby Developers,Jordan Hudgens,4.6,348.0,3.5 total hours,49 lectures,Intermediate,269.99,479.99,"2,222 students"
2740,C# Anti-Patterns: A List Of Programming Practices To Avoid,Mark Farragher,3.8,348.0,3 total hours,23 lectures,All Levels,269.99,649.99,"2,849 students"
2741,Create E-shop with .Net Core MVC (step by step project),Pavol Almasi,4.0,348.0,5.5 total hours,75 lectures,Beginner,199.99,229.99,"1,535 students"
2742,Azure Data Factory Training--Continuous Integration/Delivery,Step2C Education,4.3,347.0,16 total hours,169 lectures,Beginner,269.99,449.99,"3,214 students"
2743,Beginner's Guide to PostgreSQL,Miguel Alho,4.6,347.0,6 total hours,70 lectures,All Levels,269.99,479.99,"1,930 students"
2744,Ansible Essentials with Hands-on Labs,Ugur Oktay,4.4,347.0,6.5 total hours,58 lectures,All Levels,269.99,719.99,"3,418 students"
2745,Shopify Theme Development: Online Store 2.0 + TailwindCSS,Bernard Polidario,4.5,347.0,16 total hours,90 lectures,All Levels,719.99,765.8469641367806,"2,499 students"
2746,Intro to Unity 3D Physics: Helicopters,Indie - Pixel,4.6,347.0,17.5 total hours,131 lectures,Beginner,269.99,719.99,"2,521 students"
2747,Learn Basics of Data Structures & Algorithms in C++,Mehak Mahajan,3.8,347.0,4 total hours,21 lectures,Beginner,229.99,319.99,"17,924 students"
2748,Learn C++ Programming  for beginners from basics to advanced,DoEdu IT Educations,3.6,347.0,8.5 total hours,107 lectures,Beginner,269.99,749.99,"14,323 students"
2749,Build 10 Python Beginner Projects from scratch,Bluelime Learning Solutions,3.7,347.0,6.5 total hours,74 lectures,Beginner,269.99,349.99,"34,835 students"
2750,Generate and visualize data in Python and MATLAB,Mike X Cohen,4.4,345.0,6.5 total hours,46 lectures,All Levels,199.99,229.99,"19,935 students"
